id,text
1130546280286117890,"Here’s a great story: While we’ve still got a lot of work to do to make college affordable for everyone, that didn’t stop Robert F. Smith from seizing an opportunity to make a difference. He’s erasing the student loan debt for this year’s @Morehouse grads. https://t.co/I3X38Pbpjz"
1127597365978959872,"Happy Mother's Day to the most caring, brilliant, funny, and grounded woman I know—a perfect role model not just for our daughters, but so many others. Love you, @MichelleObama. https://t.co/liWmYaEPVk"
1126521793211248640,"As part of the @ObamaFoundation, moms like Dr. Mwansa Ketty Lubeya are answering the call for change—and raising the next generation of leaders while they’re at it. https://t.co/llToyKG2Y7"
1123691238803288066,"Happy #CollegeSigningDay, everybody! I'm proud of every student out there who's taking the next step in their education. It's the best thing you can do for yourself and your future. https://t.co/SZQaUG2Zze"
1123324075387052032,"Condolences to the family of John Singleton. His seminal work, Boyz n the Hood, remains one of the most searing, loving portrayals of the challenges facing inner-city youth. He opened doors for filmmakers of color to tell powerful stories that have been too often ignored."
1123238896882651137,"Congratulations to the new class of @ObamaFoundation Fellows! Their work in every region of the globe is already making the world better, and I hope this experience helps them make an even bigger impact. https://t.co/azK2Y9Iw5c https://t.co/tuKO1SFhSK"
1122580319109091328,"For thirty-six years, Richard Lugar proved that pragmatism and decency work—not only in Washington but all over the world. Michelle and I send our warmest sympathies to his family and all those who had the privilege of knowing this American statesman. https://t.co/Oy5DzPwkGb"
1120795062668075009,Dominique’s story is a reminder to us that where you’re from shouldn’t define what you can achieve. I’m proud of her and all students striving for a better future. https://t.co/eD95oWrOk4
1120412132036706305,"This generation of climate activists is tired of inaction, and they've caught the attention of leaders all over the world. So while this challenge is only getting more urgent, they show us the kind of action it'll take to meet this moment."
1120411993905799171,"And in the U.S., 13-year old @AlexandriaV2005 of New York, 13-year old @havenruthie of Denver, and 16-year old @israhirsi of Minneapolis are some of the young people leading the fight at home. I hope more of us will follow their example. https://t.co/qe08CGHBEI"
1120411854420041729,"I met 23-year-old @luisamneubauer in Berlin earlier this month. Luisa, the organizer behind the student movement in Germany, says, “It’s our future and we’re not going to stop fighting for it.” https://t.co/hS03PCWYAq"
1120411734316023809,"They're people like 16-year-old @GretaThunberg, whose protests at Swedish parliament sparked a movement. Inspired by Greta's action, Fridays for Future brought together more than a million strikers on every continent last month to demand action on climate. https://t.co/un7nBhEF8i"
1120411621304750088,"Young people all over the world are leading the way in the fight to protect our planet because they know their future depends on it. This Earth Day, I want to celebrate the courageous, committed young leaders who are stepping up to save the one planet we've got."
1119993208149282818,"To all who celebrate today, happy Easter from our family to yours! On this day of rebirth and renewal, let’s recommit to love and serve our brothers and sisters, especially those in need, in every way we can. Have a great day, everybody. https://t.co/BtMyWebGLw"
1119964696810070017,"The attacks on tourists and Easter worshippers in Sri Lanka are an attack on humanity. On a day devoted to love, redemption, and renewal, we pray for the victims and stand with the people of Sri Lanka."
1117886698568830976,"Notre Dame is one of the world’s great treasures, and we’re thinking of the people of France in your time of grief. It’s in our nature to mourn when we see history lost – but it’s also in our nature to rebuild for tomorrow, as strong as we can. https://t.co/SpMEvv1BzB"
1117498965417656321,"Congratulations, Tiger! To come back and win the Masters after all the highs and lows is a testament to excellence, grit, and determination."
1116840506506514433,"Another good story worth sharing: From one ""kid from Akron"" to a new generation of Akron kids, some remarkable early achievements at @IPROMISESchool. Great work, @KingJames—and even better work by those students. Proud to be a witness to their success: https://t.co/ctWfKnA5GL"
1116130925396602880,"From a big NBA fan, congrats to future Hall of Famers Dwyane Wade and Dirk Nowitzki—not just all-time greats but class acts, too."
1114517185483898880,"In just a few minutes, I’m taking the stage at the @ObamaFoundation Town Hall Europe for a conversation about how to best support civic leaders carrying out good work across the continent. I hope you’ll tune in live at https://t.co/swMRHuB5Y4. https://t.co/Ds4I8wFFM1"
1114202323767701504,A voice everybody should hear. https://t.co/0u7HUlQ8id
1113884881807990789,Here’s a story about people doing good that's worth sharing: @BradPaisley and his wife @Kimwilliamspais saw food insecurity in Nashville and decided to do something about it. They just broke ground on a free grocery store to help families in need: https://t.co/o6pcAApZsm
1113518349483421696,"Great to see Chicago’s historic mayoral race between two highly qualified candidates. Congrats to our next mayor, Lori Lightfoot—and Toni Preckwinkle campaigned hard and did us proud. I know that with our city’s heart and Lori’s leadership, Chicago’s best days are still ahead."
1113065751748009984,"Valerie is one of my oldest friends and advisors – she was by my side when I first decided to run for office and for every major moment of the presidency. @ValerieJarrett's voice has often inspired me and I know “Finding My Voice” will inspire others to lift their voices, too. https://t.co/nWTBDByMoz"
1110610860513349633,"Last night I had the chance to meet with first-term Democrats in Congress—it's a young, diverse class, stocked with a bunch of my campaign and administration alums who’ve taken the torch. This group is going to be driving progress for a long time to come. https://t.co/W5dDlDtNzE"
1108756096733331456,"Just in the nick of time: My brackets have never been my one shining moment, but here we go again. You can check out my #MarchMadness picks here: https://t.co/c3bjNrIo4w https://t.co/EcCUdnZjun"
1108372768796626945,"And here are some ways to help cyclone victims in Mozambique, Malawi, and Zimbabwe: https://t.co/if8HZBtWBH"
1108372617562648576,The floods in the Midwest and in southern Africa are heartbreaking. Suffering and loss on two sides of the world calls for solidarity and strength from all of us. Ask what you can do to help our fellow Americans and families in need. Here are some ideas: https://t.co/jWJlKABqAb
1107279541741998081,"In 2011, I visited the tiny town of Moneygall and got to walk around in the house where my great-great-great grandfather Falmouth Kearney lived his early life. I'll always be grateful for the warmth and generosity of the Irish people. Happy St. Patrick's Day! -Barack O’Bama https://t.co/abDtarFbR5"
1106544510555824128,Michelle and I send our condolences to the people of New Zealand. We grieve with you and the Muslim community. All of us must stand against hatred in all its forms.
1106293084168601600,.@MichelleObama and I are rooting hard for Team USA as the Special Olympics World Games get underway this week. Our Special Olympians are terrific examples of America’s heart and drive.
1105541040575008768,"What a great moment. Happy 110th, Virginia. https://t.co/FuNZV3RRV4"
1104910353232789505,Michelle and I send our deepest sympathies to all who knew the victims of today’s plane crash in Ethiopia.
1104049983760805889,"The Crew Dragon’s been on quite a ride since I last saw it—congrats to @NASA and @SpaceX on a successful return! We invested in the @Commercial_Crew program to strengthen the U.S. space program for the long haul, and it’s great to see that happening. https://t.co/Dsu5mZcaCZ"
1104012516307451905,"Preethi, Alice, and Sefora are just three of many @ObamaFoundation leaders who remind us what International Women’s Day is all about: imagining a world free of artificial ceilings for the next generation—and doing the hard work to get us there."
