id,text
1130954751011692544,"Instead of recognizing and addressing the concerns of workers, American Airlines has moved to sue @MachinistsUnion. Machinists keep passengers safe and on time. My message to American Airlines is simple: Stop the intimidation and bullying! https://t.co/YIPu3gGZ0W"
1130930375319064577,"Instead of criminalizing reproductive health care, state legislatures must protect a woman's constitutional right to choose. I applaud the Nevada Legislature for voting today to remove outdated criminal penalties for abortion from state law. https://t.co/QzpaibnEB7"
1130922380384247810,"Philadelphia: get out to vote today for progressive judicial candidates, and bring your friends, family, and neighbors out to vote! Today you can prove to the world that a revolution in criminal justice is possible in America. https://t.co/EO7LipPwP2"
1130887507405692935,"Abortion is health care, it is a woman’s constitutional right, and people in every state in this country are ready to defend that right. Together, we are going to #StopTheBans and end the attacks on women's rights."
1130833256826494981,"Walmart workers are sick and tired of being paid poverty wages, while the Walton family is worth over $170 billion. I’m honored to have been invited by Walmart workers to demand they have a seat on the company’s board. https://t.co/hIYWI3hSbw"
1130632103421521922,Congratulations to newly elected @ATUComm President John Costa — a true rank and file leader with nearly two decades of experience and a commitment to transportation workers and riders.
1130625731162234884,"A few short years ago, we were told that paying workers a living wage of $15 an hour was “too radical.” Not so radical anymore. Now it is time to turn our vision into reality. https://t.co/YxhVWEXqZS"
1130612918989545472,"Why is it that we allow charter schools to siphon public money out of public schools — often with worse results — simply to enrich Wall Street executives, Silicon Valley CEOs and billionaires like the DeVos family?"
1130595526683107333,"Since the late 1980s, the number of racially segregated schools has more than tripled.

This segregation isn't by accident—it's the result of policy decisions made in courts, in state legislatures and in Washington.

I will not tolerate still having separate and unequal schools."
1130557555896389632,"Today I met Pamela Rush in Tyler, Alabama. Her daughter has trouble breathing at night because of mold in their home and there is sewage runoff in her backyard. Pamela is not alone. This is the reality for millions of Americans, but you don’t hear that in Congress or on TV. https://t.co/GmULfL92r1"
1130539728069988352,"I'm in Montgomery, Alabama, holding a town hall to discuss how we can come together in the fight for economic, racial, environmental and social justice. https://t.co/rmjpUj6Obo"
1130504934884085761,"Ford got nearly $750 million in tax breaks from the Trump tax scam and paid its CEO $18 million last year.

Now, Ford is laying off thousands of workers.

The bottom line: Republicans sold the tax scam as a way to create jobs and help workers. They lied. https://t.co/uCoJ5g0PPP"
1130264655077740544,I was proud to stand with those marching in Birmingham today against the outrageous and unconstitutional abortion ban passed in Alabama. We will fight back and protect a woman's right to control her own body. https://t.co/QZUFZaraCK
1130240249651761152,"As president, I will not appoint anyone to the United States Supreme Court unless they are prepared to defend Roe v. Wade. https://t.co/X1jSxrIqUx"
