id,text
1129450431245983744,"In #Texas? Call your State Senator now &amp; ask them to vote YES on HB 2504 to reform Texas' restrictive, undemocratic ballot access laws. The right to run for office is essential, &amp; more voices &amp; more choices is good for democracy!
Find your State Senator: https://t.co/pUE0iPmbBM"
1129118406081429510,BREAKING! Empire just doubled down on war &amp; lawlessness. We must double down for peace &amp; international law. https://t.co/mWCgQVRUKo https://t.co/sM7jY0r2YX
1128782185731956737,"Potential big win for democracy: #NYC considering #RankedChoiceVoting for elections! RCV makes it impossible to ""split the vote"", ensures winners have majority support &amp; makes lesser evil voting obsolete. Tell the Charter Commission by 5/24: NYC needs RCV! https://t.co/hUPloKeNFs"
1128470632864342016,"Critical action on Wed at Venezuela embassy. Congress &amp; Trump need help deciding which way forward. Will it be the rule of law, or the law of the jungle? Let's show them the way - in Venezuela, Iran &amp; beyond. https://t.co/tDdKy6LltJ"
1128386392743129089,"ALERT: Bolton/Pompeo trying to start ANOTHER war, accelerating US hostilities against Iran. After punishing Iran's people with illegal sanctions, Bolton now planning to send 120K American troops, bombers, warships to Mid East. No more regime change wars! https://t.co/If26Z5cdd8"
1128364198294163456,"Guaido-Bolton seizure of Ven embassy would violate Vienna Convention &amp; give thumbs up to hostile nations wanting to take over US embassies around the world - like 1979 Iran action the US rails against. Stopping illegal embassy seizure is a win for internatl law, for now."
1128349677982769153,"Lawless, dangerous coup attempt by Guaido-Bolton stumbles again - at Ven embassy! Police/State Dept officials went in to arrest embassy protectors. But after talking, let them remain, lacking warrant &amp; perhaps rethinking danger to US of violating internatl law we too depend on. https://t.co/UVas0Vu3yA"
1128057789358727168,"Congratulations to the @CanadianGreens for electing their 2nd Member of Parliament! Canada's #GreenWave continues just weeks after Greens became 2nd largest party in Prince Edward Island. The party for people, planet &amp; peace is growing globally! 💚🍁🌻🌎 https://t.co/OKMmSRuxBH"
1127255818460700672,"Stand up to Bolton/Pompeo now. Venezuela is just the 1st of their hit jobs. Rally for peace at the embassy Sat. to stop war on VZ now &amp; more perilous conflicts to come: Iran, Cuba, Russia, China &amp; beyond . https://t.co/CTaWpdZcrl"
1126969351377174528,"Congratulations to @TheGreenParty UK for winning 185 council seats in local elections for a huge 104% increase in local Green seats! Next up: European elections. The party for people, planet &amp; peace is growing globally! 💚🇬🇧🌻🌍"
1126550178440404992,"We must not surrender our foreign policies or our civil liberties to an empire gone off the rails. If you’re in the DC region, please consider joining in peace to surround the VZ embassy w/ love &amp; resistance. https://t.co/ULG9ecqUdD"
1126542381824774145,Supporters outside VZ embassy being harassed by angry Guaido backers who are blocking food &amp; supplies from being delivered. Now electricity &amp; water have been shut off. People bringing food are arrested while thugs assaulting them walk free. This is NOT what democracy looks like. https://t.co/wb0QR6VJHK
1126513185719296001,Anti-war protesters are occupying the Venezuelan embassy to put the brakes on regime change #68. Here's why this is a critical stand for peace &amp; international law.  https://t.co/hQeiGAstQr
1126269772541452288,"Join me, @ajamubaraka &amp; @HowieHawkins at the MA Green-Rainbow Party state convention where we'll share plans for a #GreenNewDeal for peace, justice &amp; democracy. Join us May 18 in #Worcester to build the movement for people, planet &amp; peace over profit! https://t.co/ijCSX278ah https://t.co/4MZy6FkVvr"
1125536807821750272,"The attacks on peaceful anti-war protesters at the Venezuelan embassy in DC by violent coup supporters are a microcosm of US empire: Endless wars are not only draining our economy, they’re trampling our democracy. https://t.co/RCSfLM30YJ"
1125531129648484359,"Great news for democracy: #RankedChoiceVoting is being considered for NYC! RCV makes it impossible to “split the vote” or “spoil the election”, expands voter choice &amp; makes lesser evil voting obsolete. Tell the Charter Commission it's time for RCV in NYC! https://t.co/zZjtp4VfkS"
1124750472512974848,"Guido supporters are attempting an illegal take over of VZ embassy, after humiliating defeat of Guido’s 3rd coup attempt inside VZ. Peace activists in the embassy need support from all who oppose empire, endless war, austerity. https://t.co/hWkaox2mQ6"
1124747908379742208,"BREAKING Peace activists are calling all DC supporters to come to VZ embassy to oppose another bloody war for oil. Activists are lawfully occupying VZ embassy,  defending intl law, opposing regime change #68 planned by warmongers Bolton, Pompeo, Abrams.  https://t.co/WxN7mvkFv8"
1124364594464665600,6/ We deserve elections we can trust! Failing to investigate an election so full of red flags as Canova-DWS 2018 leaves the door open to anyone who wants to mess with our elections. Tell Congress to investigate today &amp; prevent a crisis in 2020. https://t.co/8i3I4os6W6
1124342423881244672,"5/ Over ½ of DWS votes lacked a routine safeguard: info on where, when &amp; how each vote was cast. These details make it hard to secretly steal votes electronically. Snipes' failure to provide this info is another warning sign the vote count could have been manipulated."
1124330836906651649,"4/ Canova’s vote count, roughly 5% across all groups, was as likely as winning the lottery every day for a year, according to statistics expert Dr. David Bader, chair of GA Tech’s School of Computational Science. That included LatinX, White, Black, female, Dem &amp; no-party voters."
1124329879082872832,3/ 2018 Canova-DWS was marred by hackable voting machines with modems and chain of custody violations that could allow party operatives to tamper with ballots and go undetected.
1124322744135553024,"2/ Here are some highlights, or lowlights, actually, of DWS vs Canova 2018. For starters, it was supervised by DWS crony Brenda Snipes, who illegally destroyed ballots after Canova’s challenge in 2016, conveniently blocking an investigation Canova was pursuing in court."
1124314957976358912,"1/Want a 2020 election we can trust? Join the call to investigate the 2018 Wasserman-Schultz vs @Tim_Canova FL-23 election, a textbook case of mismanagement &amp; potential fraud. Don’t wait for a crisis in 2020. Demand transparent, accountable elections now! https://t.co/8i3I4os6W6"
1123736989591855105,"Happy #InternationalWorkersDay. Just 26 billionaires own more wealth than half the world's population. Kinda says it all. It’s time for a world that puts people, planet &amp; peace over profit. #MayDay"
1123706344828280835,"MSM breathlessly covers every anti-government protest in #Venezuela, yet ZERO coverage of massive anti-government protests in #Honduras, #Haiti, #Colombia, #Argentina, even #France: all neoliberal US allies. Interesting how the MSM narrative serves the global economic elite."
1123700617355112449,"If the government of #Venezuela killed 40,000 of its own people, it would be headline news on every US channel &amp; newspaper. But when the US government kills 40,000 Venezuelans with sanctions, US media is silent. #SanctionsKill https://t.co/T3YtMaWUX2"
