id,text
1130829163416510464,"China, Leverage, and Values https://t.co/ih0HHDtmIJ Well worth the read."
1130806282003337216,"The real problem for military spouses is an assignment system that is managed like a game of musical chairs, writes @katebachwsj https://t.co/xnrfKeNc4E"
1130803793464090624,Case of the Killer Toyotas: Are foreign-owned car plants in the U.S. a national security threat? No they are not. https://t.co/Izn9cHo79b
1129386038764482560,The remembrance of #BrownvBoard must be an unrelenting call to make good on its promise and make ourselves accountable to its powerful vision of opportunity for all students. Read my full statement: https://t.co/ftWwQqWXSJ
1128993865757843457,Trump's Trade War Is Making Mexico Great via @POLITICO for iOS https://t.co/jI7CcTzh1U
1127994809577287681,An amazing education success story. So happy that IDEA Public Schools is planning to come to Florida. https://t.co/B7qzg129KV
1127896789070360576,"To persuade Cuba to exit Venezuela, the price of staying has to be higher than any benefits it still receives. That’s the best way to liberate Venezuela from tyranny, writes @MaryAnastiaOG. https://t.co/SeoPNJFmmg"
1127036840291241984,Thank you Hamdi and thank you Chobani. https://t.co/kJcn1U1tDg
1126639917206052864,Denver voters prove the slippery slope argument is correct. https://t.co/HWyfH3iD4J
1126572522600914945,"I’m proud of the Family Empowerment Scholarship &amp; applaud @GovRonDeSantis, @BillGalvano, @RepJoseOliva for their leadership in making the boldest education idea in the nation a reality. Congrats @SenMannyDiazJr &amp; @voteforjennifer. #SB7070 https://t.co/Fuoe8n3OJU"
1126491986817638400,Don't Abolish the NYC High-School-Admission Test - The Atlantic https://t.co/9aXxyjLuFm
1126470515550560258,two phenomenal games in two days! https://t.co/mmsS6gSQU7
1126084610197159936,Why does Donald Trump believe Putin instead of his advisers on Venezuela? Is the Monroe Doctrine dead? https://t.co/68TGBXgaEG
1125932148622389248,"Own it, apologize for it but you should not have to resign. Dang, we are living is an uptight world. Thank you for your service.  https://t.co/OH40CQhxXB"
1124486472801968128,Thank you Governor DeSantis and the courageous leaders of the Fl legislature. The beginning of a 21st education system focused on rising student achievement. https://t.co/xsA22wjIzy
1124485070922948608,Congratulations Mike! https://t.co/GgjYhiH2IX
1123704874007449600,"Tremendous news for TN families as policymakers approve HB 939! More than 15,000 low-income students will now have access to educational options previously out of reach. Thanks @GovBillLee @GlenCasada @ltgovmcnally Sen. Dolores Gresham &amp; Rep. Bill Dunn! #edreform"
1123323833258319873,A big thanks to @BillGalvano and the Florida Senate for strong leadership on #edreform https://t.co/ituXWcoJvj
1123319324628926466,"Killings by security forces rife in Venezuela, rule of law 'virtually absent': U.N. - Reuters https://t.co/dRlsJHZQMQ"
1123313744128434176,.@SenMannyDiazJr and @voteforjennifer are national leaders in expanding opportunity for more students. Grateful for their leadership on #edreform https://t.co/ELgj0qDon3
1123311450880184325,Incredible day in Tallahassee to witness the passage of historic legislation that will usher in greater educational freedom for Florida families. Many thanks to @RepJoseOliva for the kind invite to visit the Florida Legislature today. #edreform https://t.co/f9SF2Jxhq4
1121930101518667781,Great story and a great way to honor Navy vet David Miller. Best of luck to the Miller family! https://t.co/vUlLkDI3F3
1121704521305153537,Mike Pence is a good man. https://t.co/t2C1PFYHb7
1120772101949067264,An incredible tradition. A heartfelt thank you to the @TAMU family for honoring our parents at last night's #AggieMuster. #tamu https://t.co/dglJRHjI7k
1120635977180098560,DC inaction will hurt millions of people. https://t.co/jk7fwWJPiG
1120466383001796608,Strong move by the Trump Administration. https://t.co/zoAxf1wqW7
1120452227104157699,.@GovBillLee's bold and innovative education proposal would provide options to Tennessee students who need them most #edreform #edchoice https://t.co/x9DjqAfVcO
1116671445051039744,Worth the read. Thank you Knights of Columbus for supporting Iraq’s Christians. https://t.co/BQF3F4SaH3
1116385081839497216,Governor @dougducey continues to lead the way https://t.co/Qr1M88AvGg
1116279281779261440,We have an advantage if we get our act together. https://t.co/1bdhqWENK6
1115796650776301568,Congratulations to @DwyaneWade on an unbelievable career and the even greater legacy you built. You did Miami and our country proud. #OneLastDance https://t.co/bOsf8E9Oc0
1115572929251745793,Very well said @BobbyJindal https://t.co/s21NRyZ6zW
1115001997160255490,Interesting data https://t.co/H8JS8dQs0P
1114916638904737793,Record 17-foot python caught in Florida Everglades may signal new way to fight the giant snakes - Orlando Sentinel https://t.co/nPuGnxSkfr
1112819517833535488,Big news on the Adult Literacy XPRIZE front @BarbaraBushFdn @xprize @DollarGeneral https://t.co/09rTnVC4NR
1112812335423524867,"A huge and sincere thank you to Jean Becker, @jgm41 and the entire President 41 staff for taking such great care of our parents and our entire family. We are incredibly blessed. https://t.co/cxOknTtTQB"
1112800450758275072,"On behalf of the millions of Floridians personally affected by this issue, I thank @GovRonDeSantis for bringing the Office of Drug Control back to the EOG. I know his efforts will go a long way in helping Florida fight this growing and heartbreaking crisis. https://t.co/QXSW3zTRPH"
1110599525016788992,"A majority of Alabamians – 76% - believe parents should have education choices for their children. When students have access to opportunity, we all win. Read more from @ExcelinEd https://t.co/RBae3SufQN"
1110517380713758722,Time for editors and journalists to reevaluate.  https://t.co/HxA6zY9VYL
1110480100863209472,"NATO is not yet a sham, but its key members no longer believe in the security calculations at its heart, writes @wrmead https://t.co/BJKb5PZNKL"
1107998568181362689,So true https://t.co/zzzWFtYov6
1107602542257684480,How Are Those Steel Tariffs Working? Not so good. https://t.co/z5TwS7ZcyX
1106649204250816513,Took my friend @davidaxelrod to @TheSaltyDonut and #Wynwood in Miami. Catch our #AxeFiles conversation tomorrow night on @CNN at 7:00 pm https://t.co/yQlnFEGDfE
1105622686456340480,@JohnsCrazySocks thank you John for the beautiful socks. I appreciate you.
1105598886750666754,Well done to Florida House leaders for proposing educational options for middle-class families! Read more from @AFloridaPromise #edreform https://t.co/MIYpyMyrZq
1105159915180646401,Exactly https://t.co/eraxnChxrd
1105126017625194496,Great read! https://t.co/9blfTGnTQG
1104349643037659136,"A “Just Say Know’” approach must replace “Just Say No” to get young people to focus on facts about drug use, writes “Beautiful Boy” author @david_sheff.  https://t.co/eH6VLlWHyV"
1104047862323777538,Well said by Continetti.  https://t.co/PMppu3P3yJ
1103499165647069184,Democrats Just Voted AGAINST Free College | RealClearPolitics ...What were they thinking?  https://t.co/o2YfxMkWZj
1103439619952123904,"Mom was passionate about literacy. As @BarbaraBushFdn turns 30, I am proud to see her passion and legacy continue into the next 30 years and beyond. https://t.co/ts8Gyubi2L"
1103038139617169408,"“Education opportunity shouldn’t be limited by parental income or zip code.” I wholeheartedly agree, @GovRonDeSantis. Congrats on your first State of the State Address! #edreform"
1102739533332918273,Great to hear @GovBillLee tout the power of educational freedom in his first State of the State by vowing to bring Education Scholarship Accounts to more families. #TNSOTS #edreform https://t.co/7IBTBBNn8y
1102739121196404736,Thanks to the #SXSWEDU team for a great day in Austin talking #edreform! https://t.co/O1M5o7YZgg
1102660536066605056,Got to chat with 8-year old podcaster Nate today at #SXSWEDU - one of the more enjoyable media interviews I have ever done! @natepodcasts https://t.co/Zja81dGa7H
1102605463831658496,Venezuela’s Suicide https://t.co/1p3ZKoDw17 via @ForeignAffairs
