id,text
1095091999244455936,2/2 We fought this issue in the 1980’s re: deployments to Central America when I was Asst SecDef and it went to the Supreme Court which ruled the militia clause of the Constitution was subordinate to the Army clause when it came to federal deployments. See Perpich v. DOD (1990)
1095090884931174400,"1/2 NATIONAL GUARD DEPLOYMENTS:  State governors (e.g., New Mexico &amp; CA) don't have blanket constitutional authority as “commanders of the militia"" to withdraw National Guard members from deployments if they have been activated under Title 32 or Title 10 of the U.S. Code."
1057740469826998272,No better person to have my first podcast with @jockowillink https://t.co/xdNP10u3LW
1011067656290660352,Some insight into cotton-picking and my heritage: My Cotton-Pickin Mama https://t.co/QOqt4L7t1o
822458999891263489,Trump’s electoral base &amp; genuine status as a political outsider positions him to bring two much-needed adjustments: https://t.co/wsUTWxbEh1
811329339174359040,Bill Clinton reminds media that he won by a “landslide” in electoral college. Let’s remember he won only 43 percent of the popular vote.
809420411666624513,https://t.co/B65D6UdrV9 via @12WCV &amp; @IJRopinion
725427178503049221,The United States must step up to this challenge. The future stability of East Asia depends on it. https://t.co/TtGXw9kk8H
724578762034163713,We can celebrate Harriet Tubman without disparaging Andrew Jackson https://t.co/Fiio3K7cwx #WebbNation https://t.co/gee3ERkET0
724560422871900160,Was Old Hickory a Monster? https://t.co/Fiio3K7cwx
724410462989893632,"Examining the recent debate about President Andrew Jackson, Jim Webb wrote a piece for Monday's @washingtonpost. We'll share it in the a.m."
707680692570857472,"America’s former CIA chief: ‘If we don’t handle China well, it will be catastrophic’
https://t.co/8zEMVaEhqI"
706537056370106368,RIP Nancy Reagan and Pat Conroy. Many fond memories with the Gipper &amp; the Great Santini.
706276328870379529,"Glad @TulsiGabbard spoke up: ""A lot of people warned me against doing what I did...” https://t.co/7ujejsLEhQ"
706261837755637760,"""I will never change these views in order to adapt to a party platform as a way to get nominated for the presidency. "" -Jim 10/20/15"
706256967795277824,The Republican Party Is Shattering by @peggynoonannyc https://t.co/UUg1eSoW1x via @WSJ
705785511676387328,"Sen Jim Webb said he would not vote for Mrs. Clinton, but he does not support any candidate at this point. https://t.co/6ILsBkQie1"
705734127908167680,Senator Webb is on deck on @Morning_Joe on #MSNBC right now.
705512174966411265,Slated to appear on @MSNBC's @Morning_Joe tomorrow (Friday) morning at around 7:40 ET. #WebbNation https://t.co/aRBADDSCN7
700416338855002112,The White House must send a very clear message to China: https://t.co/anNoa6KNK8
698657030261702656,My condolences to Justice Scalia's family on this sad and unfortunate day.
698232987104780288,A statement from Jim Webb https://t.co/l83qdlBW9f #WebbNation
696696534063259648,Jim Webb will address the World Affairs Council in Dallas Thursday &amp; the Dallas Morning News Editorial Board Friday. https://t.co/c3Q1i58WBv
694869026430939136,China's claim of “indisputable sovereignty” in South China Sea must be vigorously disputed by the US. -Jim https://t.co/lYZT9vbcM6
693409872705142784,"Jim Webb to address the World Affairs Council of Dallas/Fort Worth, Texas, Feb. 11 https://t.co/mGylBT8W3G @dfwworld https://t.co/GfWnONxitq"
689245658704965632,"Rest easy, Glenn Frey.  Peaceful, Easy Feeling.  You made my world a far richer place."
687997005654810624,"@rtlehr Sen. Webb is actively engaging w/ many stakeholders every day, examining every obstacle he'd need to overcome in an Independent bid."
687685061634846720,WashPost: The Presidential Debate Commission is readying for a serious 3rd party candidate https://t.co/8Ckoa5gZ9L https://t.co/NLXBKiGb0j
687400017687134210,"If there’s one thing nearly all Americans share, it’s a disgust for our broken two-party system. https://t.co/PuWMzmDqap"
687328111789240320,"#SOTU / #DemDebate
#WebbNation https://t.co/NZB8uLQ3nJ"
686987236592631808,"2007: Sen Webb gave official response to State of the Union. Is what he said still relevant? #SOTU #WebbNation
https://t.co/IvXSEthxjn"
