id,text
1130503035757703169,"A Fearless American Future: Beto O’Rourke Townhall on CNN, Tuesday night, May 21st at 10pm Eastern/9pm Central. I’ll be watching — hope you will too!"
1123208936327393280,".@BetoORourke’s plan to combat climate change simply hits the nail on the head. A green energy future isn’t only necessary for our country’s survival, but also represents one of the greatest economic opportunities we’ve encountered as a nation. https://t.co/O0RAr8rbRc"
1119279915336175619,"e.g. “Russia, if you're listening, I hope you're able to find the 30,000 emails.”"
1119279913645817859,"A solicitation is an oral or written communication that ... contains a clear message asking, requesting, or recommending that another person make a contribution, donation, transfer of funds, or otherwise provide anything of value."
1119279912085610497,"According to the statute: “No person shall knowingly solicit, accept, or receive from a foreign national any contribution or donation prohibited by [this law].”"
1119279908096753666,"52 USC 30121, 36 USC 510 is the federal law which prohibits foreign involvement in US campaigns."
1118688566626877440,"Huge congrats to my former student @irelandlesley5 on her big win tonight! Good luck, I know you’ll make UMD proud. https://t.co/D7YQUGs39E"
1115008870559227906,"Speaker Busch was a champion of the Chesapeake bay, working people, and an incredibly decent human being. My heart goes out to his family during this difficult time."
1114586878320181248,Sending my love and prayers to the family of Sen. Fritz Hollings. Amazing public servant and even better man. https://t.co/YKloPIL8xL
1110678538561249281,"Hope you'll turn out to one of the many watch parties nationwide for @BetoORourke's big announcement on Saturday. Find a watch party near you!
https://t.co/pks6OPxGam"
1109833720398340098,"""@ProjectDrawdown is not the final horseman of the Apocalypse; it's a roadmap to higher standards of living.""  https://t.co/sO1hdCG8X5"
1108453613196709888,"Rebuking Trump for disparaging the valor of John McCain is like rebuking a sociopath for being anti-social. And yet, it’s progress for the once proud Party of Lincoln. https://t.co/OJWVzaKDDc"
1106564161000091648,"Whether it’s our Jewish brothers and sisters in Pennsylvania, or our Muslim brothers and sisters in New Zealand, we must stand against the white nationalist hate that is behind these acts of terror. #Christchurch https://t.co/nWQlt5sCqq"
1106555203380301825,The victims of these mass shootings are of every faith. https://t.co/mcrCXEIDys
1106225551201783811,You bet! We’re all in for Beto here in Maryland and I look forward to doing everything in my power to help him beat Donald Trump. https://t.co/7oCoA0mAzg
1106204042097819648,Congratulations to Beto and Amy O’Rourke on the big decision to run for President of the U.S.! Thanks for doing this. We need you. A fearless American future is calling us forward. https://t.co/avmqBnRqQ3
1104743876445777921,Here in Austin for @sxsw this weekend. Especially looking forward to hearing from so many civic-minded organizations at today's @CivicIO1 Civic Tech Pitch Competition. Come say hello if you're here!
1096101369126227969,"On this 1-year anniversary of the slaughter in Parkland, I am so heartened to see the House Judiciary Committee advancing a bill for universal background checks. Thank you, @AMarch4OurLives and heroes in Congress like @lucymcbath for making sure we do better by our kids. https://t.co/bx4RCaGsGN"
1088873798475173889,"I really like @BetoORourke's final blog post today. Our history is complicated, but ""we are all in this together."" And this land was made for you and me.
https://t.co/4lzh38wrjX"
1087387267134640129,"""Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that."" #MLKDay"
1086352726127267840,"A 'happy birthday' back at ya, @BenJealous! And you too, Congressman @RepCummings! https://t.co/ygzV326cln"
1086306430871842821,"The U.S. Army, deployed in wartime, is not an imperial play toy or extended palace guard of any temporary President. It is the Army of the People of this Republic, and Congress has a job and a duty to perform — especially when American soldiers are dying in a war zone."
1086306430037229568,"Trump’s canceling of the Speaker’s Congressional delegation trip to talk with our military leaders on the ground in Afghanistan was worse than just retaliatory, smash-mouth old New York-style politics. It was an authoritarian move."
