id,text
1130981898308771841,Tonight I’ll be talking to @TuckerCarlson about how @HUDgov is prioritizing housing assistance for American citizens. Hope you’ll tune in at 8pm ET! #ReclaimingMyTime
1130922949060571137,"OH, REO! Thanks, @RepKatiePorter. Enjoying a few post-hearing snacks. Sending some your way! https://t.co/q4MMTBWVUI"
1130895084461985794,".@RepSylviaGarcia, there are more than 100,000 American citizens waiting for public housing in Houston, TX. Do you think they should continue to wait while people here illegally are taking their space?"
1130888857673768960,"The American people deserve better than a ""yes"" or ""no"" answer. #ReclaimingMyTime"
1130880158603337730,"As a result, Americans have fewer housing choices, including the opportunity to achieve sustainable homeownership, which is the number one builder of wealth for most American families. The average net worth of a homeowner is  40x higher than a renter."
1130880157747691520,"For too many Americans, the largest portion of their paychecks goes to housing. Over 37 million renter and owner households spend more than 30% percent of their household income on housing; over 18 million of which spend more than half of their income on housing."
1130880156917272576,"For this reason, in recent years, new construction is lagging. Census Bureau data shows us that from 2010 to 2016, only seven homes were built for every 10 households formed."
1130880155117936641,"Expert research indicates that more than 25% of the cost of a new home is the direct result of Federal, State, and local regulations – and sometimes the price tag is much higher than that: up to 42% for some new multifamily construction."
1130880154354573312,A thread on regulatory barriers to affordable housing:
1130864829798014976,".@USTreasury is responsible for writing the regs associated with investing in Qualified Opportunity Funds, and HUD is chair of @WhiteHouse Opportunity and Revitalization Council responsible for focusing government resources and reducing administrative burdens in Opportunity Zones"
1130864829072384000,#OpportunityZones are home to approximately 31.3 million Americans in all 50 states. https://t.co/9carmSa9Ye
1130848007690235904,My constitutional responsibility is to enforce existing law as it is written by Congress. https://t.co/gWcsv9wvZj
1130495203725463559,"This morning, I was pleased to host a number of our partners for a conversation about how @HUDgov-assisted housing inspections. This is part of my campaign to improve the safety &amp; health of the housing taxpayers support. READ MORE: https://t.co/evxgiYq0to https://t.co/F2X1ypr1Yk"
1129475823004803072,It is a great honor for @HUDgov to receive @MicroStrategy 's 2019 Federal IT Innovation Award. We have made it a priority to modernize our systems to improve the way HUD does business. READ MORE: https://t.co/F1wiP5nbLe
1129378242685808640,"I’m talking with the Laffer Associates about #OpportunityZones. Few programs in modern history have the potential to touch the lives of so many as powerfully as #OpportunityZones, which are now home to nearly 35M Americans —including 2.4M HUD-assisted people—in all 50 states. https://t.co/oSaihHBOUj"
1129376461117448192,"I’m delighted to join the Laffer Associates to share my vision for addressing America’s affordable housing challenges. There is a nationwide shortage of affordable homes but at @HUDgov, we have a prescription for the problem: revitalization, innovation &amp; deregulation. https://t.co/g2gjQQ0nJg"
1129137737284620290,"During this #PoliceWeek2019, I visited @FairfaxCountyPD to express my appreciation for law enforcement officers here in Virginia and across the country. https://t.co/HYRN4g3vNf"
1128018730116689920,".@HUDgov believes that revitalizing neighborhoods can never be the job of just one sector. Communities thrive when public, private, and nonprofit partners come together for the good of the people. https://t.co/9FtoajdgBJ"
1128018487123820544,"Choice Neighborhoods Grant funds will be used to produce more low-income housing, improve schools, and provide job training services. https://t.co/s8RqNVmaaC https://t.co/mV0jql5kL1"
1128018290893312001,"This afternoon, I’m in @CityofNN to announce that Newport News, Virginia, Norfolk, Virginia, and Omaha, Nebraska are getting $85 million in Choice Neighborhood Grants. These grants, and the more than $620 million they will stimulate from other sources, will transform communities. https://t.co/4o0SozVP6m"
1127705405373779968,"As the son of a single mom, I know the vital role that mothers play in our lives. I am eternally grateful to my mom for the daily sacrifices she made for our family. Happy Mother’s Day to my wife and all of the wonderful mothers who make our world a brighter place."
1126947107154345991,.@HUDgov is proposing a rule to close a loophole and ensure we enforce what is already law: https://t.co/O1qfx7T13b
1126919740985946112,"In the African-American community, wages are rising, and unemployment has reached the lowest rate recorded, but barriers to affordable housing still exist. At @HUDGOV we are continuing to break down barriers to homeownership. @REALTIST_NAREB https://t.co/Xh5xEUOcjN"
1126879925569490944,"Before, during, and after a hurricane, you can play a large role in how your neighbors fare. We all need to do our part to help each other in times of need. https://t.co/vlC5kvtf3y #HurricanePrep #HurricaneStrong https://t.co/E3nR3HKduf"
1126872709701537792,"This morning, I had the honor to share my vision for the future of fair housing and American homeownership at the @REALTIST_NAREB spring policy conference in DC. https://t.co/3NzSG9tkJq"
1126589695872225280,"In the months ahead, we will continue to listen to the voices from both housing stakeholders and Americans from every background and all walks of life to implement any actions that can improve #OpportunityZones for everyone. ⁦@SALTConference⁩ https://t.co/epzQXvCgyD"
1126584570436960256,At the ⁦@SALTConference⁩ today I announced that ⁦@FHAgov⁩ is unveiling a new package of incentives to encourage multi-family property owners to invest in developments located in #OpportunityZones. https://t.co/TvHt29yKW6
1126583905543344128,"At the ⁦@SALTConference⁩ today I talked about how #OpportunityZones are designed to serve local communities for the long-term. If you invest in the distressed, everyone does best. https://t.co/DpTprZUmsr"
1126535690492100609,.@HUDgov is announcing new incentives for property owners who invest in Opportunity Zones. Lower costs and dedicated underwriters will stimulate housing investment in distressed neighborhoods. READ MORE: https://t.co/MFRmdQ6dMA
1126523530235875328,Incentivizing investment in low-income communities fosters economic growth. This morning I talked with @Varneyco about @hudgov’s announcement that we’re providing incentives for multi-family property owners to invest in #OpportunityZones across the nation. https://t.co/CvQtGCTi8R
1126515251824881665,"Today we are announcing incentives to encourage multi-family property owners to invest in thousands of neighborhoods located in #OpportunityZones. It’s simple, when more investors can apply for benefits in Opportunity Zones, more benefits can be supplied in Opportunity Zones."
