id,text
1130937360907210753,"Joining @benshapiro momentarily for a live interview to discuss my investigation into allegations of @YaleLawSch discriminating against its Christian &amp; conservative students.

Hope y'all tune in! --&gt; https://t.co/MmIrtGQSsN"
1130919435483713536,"Ted Cruz beefs up probe into Yale Law School, citing religious liberty concerns - https://t.co/ZzVH7M7t4i - @washtimes"
1130863744811245569,"Cruz closes in on Yale, demands key docs on alleged faith discrimination https://t.co/CiDfY174Z6"
1130851599998279681,"I urge my fellow Americans to join me in taking a stance against the opioid epidemic, and to go to https://t.co/JWalUgTzwv to join the movement. #StopOpioidSilence https://t.co/FK8DvTrNqp"
1130669974509510656,Cruz demands Yale documents concerning discrimination against students holding 'traditional Christian views' https://t.co/5Akj9DdHDL
1130586565342846976,"Excellent news for TX farmers &amp; ranchers. By expanding access to international consumer markets, American ranchers will have new opportunities to increase beef exports. https://t.co/tRFYiG9xYo"
1130569160403107840,"There, I also expressed my gratitude &amp; support for our @CBP and @ICEgov officers working to protect our southern border &amp; Texas’ communities."
1130568965401513984,"Recently at a @senjudiciary hearing, I raised concerns regarding the ongoing humanitarian &amp; security crisis at the Texas-Mexico border and urged my Senate colleagues to put aside party line politics to address the crisis at hand. --&gt; https://t.co/o9mLRGOP2H https://t.co/mA0IsTqnk6"
1130568486034575361,"And yet, Dems continue to ignore the ongoing security &amp; humanitarian crisis at our southern border. Now more than ever, I remain committed to fighting for our BP agents to ensure they are provided with the technology, resources &amp; support they need to protect &amp; defend our border."
1130568484524568576,"As I’ve traveled across Texas, an overwhelming majority of Texans have expressed that they want to see our border secured, our Border Patrol agents supported, and legal immigration championed."
1130568483358556160,"Proud to support our Border Patrol &amp; the work they do day after day to protect our country. At a time that is particularly challenging for our country, the brave men &amp; women in green hold exceptionally important jobs &amp; remain steadfast in their commitment to protect our border."
