id,text
1130906769943875584,Love this tribute to community colleges and their talented students! https://t.co/8ooPiIuTBQ
1130830939330760704,Let's elect more pro-choice women. @RunforSomething @EmergeAmerica @emilyslist https://t.co/O5rfTC4rf5
1130805819598102535,"Today at noon: Speak out and fight back to protest the wave of recent abortion bans. 

Find an event near you: https://t.co/pE5pfz5tiA #StopTheBans"
1130581759639396352,This is grotesque. https://t.co/CvFf9rPO2H
1130573037420597249,"In the face of extreme abortion bans sweeping the country, we all have to stand up for women's rights. 

At noon tomorrow, join @PPAct, @NARAL, @OnwardTogether partner @IndivisibleTeam, and other groups to #StopTheBans. 

Find an event near you: https://t.co/pE5pfz5tiA"
1130555721416888320,The boy is the second child to have died in CBP custody in the past week. https://t.co/uLJVezJ1SE
1129433708807770112,Watching the mayor’s race in Denver and pulling for @MayorHancock—he’s a proven progressive leader who will work hard for Colorado.
1129421840500363264,"In 2019, every day is Endangered Species Day. We have to act now to prevent the loss of 1 million species over the next few decades—losses that would have a profound effect on human beings. https://t.co/lSxGmUVOXL"
1129405238534901761,"More than 200 major corporations, 500 statewide and local organizations, a bipartisan consensus in Congress, and 70% of Americans support legislation protecting LGBTQ people from discrimination. 

I am proud to stand with them and the other @HRC to support the #EqualityAct."
1129387825252712449,"As I said in my keynote celebrating the essential work of @heartlandhelps: We have to affirm that torture, physical and psychological, is wrong and will not be tolerated—whether it happens in a prison in Syria or in a cage on our southern border. https://t.co/s8MVpdzgwf"
1129027398920491009,Grateful to Planned Parenthood for continuing to provide essential services in Alabama and elsewhere while helping to fight the state legislative bans on women’s human and constitutional rights. https://t.co/oMgHvgaP0d
1128716614990487552,"If you want to be inspired every day, I highly recommend giving our partners a follow: @alliance4youth @arenasummit @CollectivePAC @colorofchange @domesticworkers @emergeamerica @IndivisibleTeam @iVoteFund @latinovictoryUS @runforsomething @swingleft @votolatino @WeDemandJustice"
1128716614256427008,"We’ve raised money to reunite families separated at the border and brought in $12 million for progressive groups, candidates, &amp; committees during the 2018 elections. 

There’s so much to be proud of. I hope you’ll take a moment this week to reflect on how far we’ve come together."
1128716613463814145,"Happy two-year anniversary to our @OnwardTogether partners. In two years, we’ve brought on 13 incredible groups as official partners and supported many more through grants."
1128668280913387521,"None of us should accept a future in which our daughters and granddaughters have fewer rights than we do. 

Choose a way to help, ask a friend to join you, and let's get to work."
1128668142018924545,"Here's what you can do today to fight back:

1. Donate to @abortionfunds: https://t.co/JY9MwWRG6g

2. Support @EmergeAmerica, @EMILYSList, @runforsomething, and @TheDLCC, who work to elect pro-choice candidates 

3. Join @supermajority to organize for the future"
1128667204164169728,"The abortion bans in Alabama, Georgia, Ohio, Kentucky, and Mississippi are appalling attacks on women's lives and fundamental freedoms. 

Women's rights are human rights. 

We will not go back."
1128320182194192384,"As I told @Columbia students last night:

For all the progress we've made on civil rights and women's rights, there are people working to turn back the clock—and now many of them have lifetime appointments on the federal bench. Get involved in the public sphere. Push for change. https://t.co/ldHJeAHEkz"
1128048937149972480,I'm on @Columbia's beautiful campus tonight for a conversation with President Lee Bollinger. You can watch live here: https://t.co/wGer17JXtK
1128005604176322560,"As this remarkable piece of journalism reminds us, the ordeal for survivors of torture doesn’t end after they are freed. I’m honored to be giving the keynote at a celebration tomorrow of @heartlandhelps’ transformative work to help survivors heal.
https://t.co/0pgVIwlPH9"
1127570199144738816,Happy Mother's Day! https://t.co/X1OAEKkObQ
1126966988432134146,"I’ve dedicated much of my career to improving the lives of children and families, and part of that was working to improve the foster care system in America. 

@Participant &amp; @hbodocs have a new film about it. Watch the filmmakers discuss with @trevornoah: https://t.co/PGhZ7A19MO"
1126535324753178625,"The FDA approved the very first birth control pill 59 years ago today, and the world opened up for women. 

Reproductive freedom is simply the foundation of women’s ability to achieve their dreams. 

We have to continue defending it. #ThxBirthControl"
1126523769831477248,"Thank you to all the students at @dartmouth for their thoughtful questions yesterday on everything from Iran and China to AI and the place of social media in our news environment. This generation doesn’t miss a beat. 

The entire talk is available here: https://t.co/VaK5HTuKtT https://t.co/qqxlP5TcR1"
