id,text
1025057008121249798,"The real issue here is: Why does @GinaRaimondo need to raise so much money? 

Her Wall Street-focussed agenda has set working families back. She's at 46% disapproval. @mattbrownforgov isn’t buying votes. He’s running a people-first campaign to build a better Rhode Island."
1025056628536762368,"Why, in 2018, do we act like raising huge sums of money is a good thing?

@Ocasio2018 was outspent 18:1.  
Bob “Cool Moose” Healey spent $35 and got 22% of the vote.
@mattbrownforgov could be outspent 10:1. 

Rhode Island voters won't be bought. They're ready for change."
1001448057224028160,"""Two of my favorite sayings are, 'Fortune favors the bold' and 'Discretion is the better part of valor.' The latter is true as to my plans. I will not be seeking elective office in 2018."""
1001114879636443138,https://t.co/1Y7ifYrBGK
1001114280530497537,https://t.co/Z3pQVFwSIn
999301269910183936,"Frank Bruni op-ed in NY Times today says Mueller investigation is backfiring on Dems, actually strengthening Trump. Who said that first?"
999062156963405825,"It’s unfortunate that Venezuela, in our hemisphere, is gravitating into the China, Russia, Iran and Turkey orbit."
998233325352439810,"Good luck to Volvo sailors! Great to work with Dir’s. Licht, Coit et al to fund necessary infrastructure in tough budget times. A feather in RI cap!"
997544316133429248,"Good to see NY Times covering DNC nominating reforms- more open primaries, no superdelegates and better caucus voting procedures."
997168938919366656,Electoral College a rout for Trump. Not good. Reforms should include all open primaries. Is Cynthia Nixon next victim of closed NY primary?
996886363927703552,Shiite al Sadr leads Iraqi elections. We ousted Sunni Saddam. We embrace Sunni Saudi’s and fight with Shiite Iran. Will we ever learn from Vietnam?
996403535637045253,"Best wishes to Rev. Donnie Anderson, a hard worker for just causes."
996044021578584064,"NBA’er Jerry West: “What is right is not always popular, and what is popular is not always right.”"
995732112408969217,Happy Mother’s Day!
995416584767275025,"HRC didn’t campaign in Wisc. Russia’s fault! Dissed Sanders Nation, email server, Clinton Foundation... Refocus on DNC reforms, no superdelegates."
994950403786706944,Endless ink on Russian meddling. Waiting for reforms to flawed DNC that gave us a candidate who lost to Trump. Ban superdelegates.
994673721339207686,"How are we going to get Middle East back to the days of Carter Begin, Reagan Shamir, HW Bush Rabin, Clinton Peres, Barak, working for peace?"
712825629415251968,Help RI #LifeSmarts team by watching their pre-national competition video. More views=more points for our team! https://t.co/bsXUJ1f47H
657557583012757504,Thank you Democrats especially in New Hampshire and Iowa!  I enjoyed meeting you!  I learned a lot!
657346708603576320,I look forward to speaking at DNC Women's Forum tomorrow morning.  I'll address my future in the campaign there. #chafee2016
657270514281525248,"Especially in Kashmir, unrest calls for reconciliation, not
inflammation. Will @narendramodi stand up for Muslims?
https://t.co/uMXnQKBN4Y"
657225207212548096,"Anti-refugee hate, rightwing reactionaries have festooned into
intolerable racial violence that threatens democracy.
https://t.co/DC0nQ4jLSe"
657179879935516672,"Peace treaty w/ N. Korea tricky proposal. Good in many ways,
difficult in others. But the first step is believing.
https://t.co/7ebRcvn4or"
656908170418364417,"Tragic violence in Israel &amp; Palestine stems directly from
frustration with the perpetuity of conflict. Ppl act in desperation
for change."
656862658319273984,"Xi Jinping might have advice for @MBuhari as he bravely combats
systemic corruption in Nigeria, an integral fight.
https://t.co/usCpOA9T5H"
656817370690928640,"A culture of fear produces dead innocents everywhere, from
Baltimore to Beersheba. #BlackLivesMatter
https://t.co/v9vwZNOl7S #GetGrounded"
656560620188344322,"Sweden &amp; Finland joining NATO may not be the best thing for world
security. A threatened Russia will act accordingly
https://t.co/aNOrTOlHl6"
656545720007327745,"The UNSC will discuss the rising unrest in Israel/Palestine, but
will there be courage to address the real issues?
https://t.co/ERCQ9tJIDt"
656500187817488384,"US drone policy: 90% ppl killed were unintended targets. What
better way to help our enemies recruit? @the_intercept
https://t.co/AiX2J1vZ4n"
656455095790534656,"Drone strikes 10x more likely to kill civilians than manned
aircraft. when you have no skin in the game.
https://t.co/mH1TuPUpkR #chafee2016"
656243562191986688,"EU countries can't agree on #refugee distribution so offer $3B to
Turkey. Turkey needs the help, and I'm for whatever works at this
point."
656183353083842560,"Smh @MLP_officiel shameful fear mongering hurts the nation, in
France and everywhere. FYI praying Muslims ≠ Nazis
https://t.co/jBrLHsMeBD"
656092500361367552,"In Kunduz airstrike, we knew the target was a hospital. How can we
hold others accountable when we don't ourselves?
http://t.co/wOA4WfMhsy"
655813172633444352,"Looking forward to the Mt Chocorua Area Dems Friendraiser today at the World Fellowship Center in Albany, NH #nhpolitics #Chafee2016"
654346105996480512,Getting ready to talk with Wolf Blitzer on @CNN! http://t.co/QFM8L8AGp3
654129515162140673,"To learn more about #ProsperitythroughPeace and to volunteer or donate to my campaign, please visit http://t.co/bq3HUGxUdP"
654125793195462657,"I raised the minimum wage three times as Governor. When it's
needed it's needed. #DemDebate #Chafee2016 #ProsperitythroughPeace"
654121988122918913,"No lines in the sand. In trying to assert strength we expose
weakness. #DemDebate #ProsperitythroughPeace  #Chafee2016"
654118242949181444,"Look at the @GOP primary farce, it's of utmost importance we
elect a Democrat to the White House. #DemDebate #Chafee2016"
654114601836093441,".#ProsperitythroughPeace is really only way. Our eagle clutches both
arrows and an olive branch. Let's give the latter a try. #DemDebate"
654110634213277696,Politicians shouldn't promise what they can't deliver. #DemDebate #Chafee2016.com #ProsperitythroughPeace
654106931615911940,"Unemployment? Not on my watch. As Governor RI saw the biggest drop
in unemployment, second only to Nevada #DemDebate #Chafee2016"
654103106301652996,"I'm the only candidate standing with @POTUS on #TPP. Trade will
happen, let's write the rules well and improve our world.#DemDebate"
654099053702156288,"Only candidate to be a Mayor, U.S. Senator, and Governor. The most
experience, the highest ethical standards #DemDebate #Chafee2016"
654023942328483840,Looking forward to discussing the issues during the #CNNDebate tonight at 8:30 pm eastern time.  #ProsperitythroughPeace #chafee 2016
653933336281354240,"Repubs too quickly condemn mental illness as the problem, what
about teaching our boys that violence is the answer?
http://t.co/fhuNiZT2Mu"
653646328925392897,"Yes! International leaders band together in Peru to address
corporate tax evasion. Exactly as it should be done
http://t.co/BXAfPT08bx"
653555920635568128,"Asking your people to die in another Intifada will not lead to
liberation Mr. Haniyeh. Try championing peace #Hunda
http://t.co/LZTJCESRe4"
653284108286693380,"Israel/Palestine: attacks by youth with no ties to armed groups
indicates not indoctrination, but deeper problem.
http://t.co/waEdJHEmC8"
653238830821191680,"Calling for peace and good will is necessary, but @narendramodi might also
want to condemn violence against Muslims
http://t.co/VdzG2MMX3N"
653193516038946816,We cannot be numb to drone strikes. They spread terror. I will end them. #GetGrounded #ProsperitythroughPeace http://t.co/Ko9DiGiYMy
652876288101871617,"Dangerous saber-rattling continues. Why do people think deepening
sectarian divides will ever solve anything?
http://t.co/n0K6DwPTwq"
652831173551464448,"Climate change is a NATIONAL SECURITY ISSUE. You'd think Repubs
would be all over it. @GOP
http://t.co/wXN8DNyxjk #GetGrounded #chafee2016"
652619584789442560,".#TPP isn't about containing China, it's about American leadership,
international order &amp; our allies. @solis_msolis
http://t.co/cZeAO6dl5i"
652513907676999680,".@netanyahu's ban is good move to prevent escalation. As things
heat up, we need to cool down #hudna
http://t.co/dceWvnR1oj #chafee2016"
652468905001226240,Congrats @GovMaryFallin on suspending executions in OK.  US should join the many nations to ban capital punishment. http://t.co/m09qY4eLHP
651894776460144641,"Mental health is public health, everywhere. Gaza is no exception.
Look out for the kids. Trauma leads to terror
http://t.co/YUJwUFvd3q"
651857135949770752,"A lot of shouting is going on about the TPP trade deal. Let's
actually read the document and measure its merits before demonizing it."
651819558655889409,What have we taught Saudis with our drone war? Wedding parties &amp; civilians are NOT targets http://t.co/2YEkV4NNjZ #ProsperitythroughPeace
651781679372238848,"While I sometimes must sacrifice my grammar for the tweet, I'm glad
my supporters don't on Facebook! @singernews
http://t.co/iHjri3ZSd9"
651767558564126721,"Trust, cooperation starts with respect and a handshake. @POTUS @JZarif http://t.co/2uTorvlWKa #GetGrounded #Chafee2016"
651517400739905537,"Hope to see you at the meeting of the Cheshire County Dems tonight in Keene, NH.  #Chafee2016 #ProsperitythroughPeace #NHpolitics"
651472200889991168,"Good piece by @ConStelz @BrookingsFP ""Why Europe needs America, a little"". We unequivocally need Europe too!
http://t.co/86R6CTwe70"
651426805325393921,"Looking forward to talking about my campaign w/ residents of RiverWoods today in Exeter, NH. #chafee2016 #ProsperitythroughPeace #nhpolitics"
651413689963282432,"We cannot accept such racism and apathy in our country.
#HisNameIsCayden and he reminds us for what we fight.
https://t.co/KhfesL8wVL"
651215743959216132,@yonimweiss against capital punishment
651155169841803265,Chinese cap and trade great start. Where's the US plan to price carbon emissions? Global summit coming soon. http://t.co/MFLzT5qxm1
651109700612792321,"At least @GOP didn't shut down the govt again, but kicking the can down the road isn't good governance http://t.co/3xngrU7IKn #GetGrounded"
651064481032835072,More than half of Americans know that US foreign policy bears some responsibility for the #refugeecrisis. Let's act http://t.co/UroBKtOu4R
651019799875686400,Unethical price spikes by some drug companies hurt people.  Time for price controls?#GetGrounded #Chafee2016 http://t.co/UFTGahfhMq
650777545068126209,"It's a crisp fall day in Strafford County, NH!  Hope to see you at the @SCDCNHDems Fall Dinner in Rochester! #nhpolitics #Chafee2016"
650702012535934976,"Our duty to protect refugees doesn't stop at the camp's welcome mat. Sexual abuse, exploitation are constant dangers http://t.co/DzU5en4tgW"
650676880727740416,"US bombs Afghan hospital.  Too many similar stories.  We need fresh ideas, new approach. #GetGrounded #Chafee2016 http://t.co/fnjGPpiAIA"
650656655181541380,"Winter is Coming, and #refugees are racing against a perilous clock. Humanity must act, no time for #GameOfThrones http://t.co/j2zCUI6btf"
650339740739366912,With China we have agreements and we have differences. Focusing on the former helps resolve the latter. http://t.co/lNFFKD9WEa #chafee2016
650311878061740032,"ACA, #Obamacare is threatened now by some Democrats call for repeal of ""cadillac tax"". Not good. #chafee2016 http://t.co/sX1IKCneRC r=0"
650294366444089345,"Peace draws closer in Colombia, but intl. attention is required to keep the pressure on the players http://t.co/aein8oNl31 #GetGrounded"
650067886548062208,"The Marshall Islands know that climate change is an existential threat to humanity. @MinisterTdB stays fighting
http://t.co/O5iFABgUmd"
650022727869403136,"Rest in peace Doug Kendall, who bravely fought for a progressive Constitution and a bright future for America http://t.co/NrhsCDsueb"
649977478845435904,"Sheikh Tamim of Qatar does the wise thing, calls for dialogue between Iran and Arab states. Let's start talking. http://t.co/mK57K7UzXt"
649705605851168769,Both @POTUS and Putin are right on Syria: democracy cannot be imposed but also tyranny cannot be promoted https://t.co/bmLfT6oXS7 #chafee20…
649615202967752704,Looking forward to taking part in the Foreign Policy Institute's Annual Forum 2:15 pm today at the Newseum in DC.  #ProsperitythroughPeace
649599429507481600,"I want to wish @NGRPresident @MBuhari and all of Nigeria happy Independence Day! Unity &amp; Faith, Peace &amp; Progress: words worth celebrating!"
649569749073051648,"We must strengthen the UN. More peacekeepers &amp; resources can only be good, why stop at here? http://t.co/6U5kxb5ydT #GetGrounded #chafee2016"
649342988561313792,What have we taught the Saudis with our drone war? Wedding parties and civilians are NOT targets http://t.co/OePEOvYXCB  #chafee2016
649282669906423808,Hear more about my plan to create a new tax bracket for the wealthy on @fbncountdown with @LizClaman today at 3pm ET. #chafee2016
649207211927949312,"Trust, cooperation starts with respect &amp; a handshake.@POTUS @JZarif http://t.co/XlyTDQV1wG #GetGrounded #ProsperitythroughPeace #Chafee2016"
648937634346237960,"Mr. @Snowden-Fed court ruled you're right! I'm the only presidential candidate who has vowed to bring you home, charges dropped. #chafee2016"
648834911915409408,Something is wrong- we arm and train fighters who then join the other side. Why? That is the question. #GetGrounded #chafee2016
648255870338531328,"By failing to strengthen and fix our intl. institutions, we retreat to a disastrous paradigm of unipolarity 
http://t.co/9An8N8QBDw"
648210649064058880,"French crops die from WWI we continue to reap the seeds of war, ever sown deep. Why do we keep lusting for conflict? http://t.co/lvxCu0yb2U"
648165229424197632,Peace in Colombia w/ FARC looks promising. Accountability remains key. Fingers crossed. #ProsperitythroughPeace http://t.co/YyESCVvfYh
648121110622507009,ISIS recruits grow rapidly. We need to understand why people buy what #ISIS sells. #GetGrounded #chafee2016  #ProperitythroughPeace
647865627076620288,A great day at @HamptonDems Community Picnic! #chafee2016 #nhpolitics #prosperitythroughpeace http://t.co/C98waStQuW
647848203656802305,"Sam Nunn is right: talking and engagement, NOT silence is the key to progress w/ Russia. Good looks @politicalinsidr http://t.co/hhFEw2zGtV"
647795348421898240,"Hope to see you @HamptonDems Community Picnic today at noon at 39 Mill Rd, Hampton, NH.  #chafee2016 #ProsperitythroughPeace #nhpolitics"
647757602424815616,Every nation in the world must reevaluate how its energy subsidies work against a sustainable future http://t.co/FWqYbUjhRq #GetGrounded
647531020594610176,".@SteveKingIA how can you say the refugees crisis is a calculated effort by ""Islam"" to invade non-Muslim countries? Fear&gt;anger&gt;hate&gt;darkside"
647514000536793092,"“@ReutersWorld: Putin to meet Obama on September 28: Kremlin http://t.co/VAX144c7VK”. Let's start a healthy, honest dialogue. #chafee2016"
647440607397453824,"Burkina Faso political turmoil presents test for the nation, region, and world. Diplomacy is the only real solution. http://t.co/wAgHzr3EiE"
647402212768006145,With climate change comes investing change.  Watch for water as a high value commodity. #GetGrounded #chafee2016 http://t.co/8C0AnyNbLk
647201971515035648,Thank you Mt Chocurua Democrats! #nhpolitics #prosperitythroughpeace #chafee2016 http://t.co/qgEiOS5NUb
647123635451375616,Both long overdue and very timely: @RepEBJ introduces H.R. 413 to honor victims of hate crimes &amp; prejudice post 9/11 http://t.co/H9JNkRKNHx
647078286640726016,The Iraq War caused the refugee crisis and our European allies suffer from our mistakes. Fruits of #neoconkoolaid http://t.co/DiUDno4bsL
646806466742087680,Yemen continues to denigrate into worse humanitarian disaster. US should rally intl efforts for peace talks  http://t.co/Ky6Rt4QWRK
646761214710804484,"If we want the world to listen to us, we need to listen to the world. Time to reflect on the #Cuba embargo @UN http://t.co/kM9QZQOkiV"
646716122868359168,At the #EU refugee summit today leaders must come together on more than quotas to address the millions still trying to escape.
646444053085749248,"Still, talking w/ Russians is first step. Good to see @POTUS  doing it. Repubs would probably just launch missiles  http://t.co/aV88qLaOlJ"
646398602496098304,How to address source of hate crimes? We must educate to embrace diversity and criticize a whitewashed history.  http://t.co/C8fPOLlYji
646353271574106114,Russia should know that sustainable peace in Syria is impossible w/o reforming the Assad regime. http://t.co/i1JBrbCqUz #GetGrounded
646305133723316224,"Welcome Pope Francis! @Pontifex said in #Cuba, ""If you are different than me, why don't we talk?"" #GetGrounded #ProsperitythroughPeace"
646081596496474112,"Good to see intl. leadership &amp; cooperation address situation in Burkina Faso. Exactly right, let's keep an eye on it  http://t.co/ERS8bYjAWn"
646058496660738048,"Oman, on the Arabian Peninsula is emerging as a leader of peaceful efforts in the region.  Responsible for release of US prisoners in Yemen."
646036367064088577,".@GOP  You should already know this, but race baiting and fear mongering, immoral themselves, ultimately hurt you  http://t.co/3j6Cl843tb"
646006260496773120,.@realBenCarson shames himself and the Constitution with Muslim president comment.  Bigotry is incompatible with the values of this nation.
645991115468996612,"Brinkmanship in Syria w/Russia will kill more, prolong conflict. Let's come to our senses now and talk.  @JyShapiro  http://t.co/1RbooIuhFk"
645945778138185729,New docs show Bush/Cheney ignored 4th Amend. &amp; Justice Dept on wiretapping. Probably still think they're right. http://t.co/qYCmqySl33
645673947330121728,"Hmm, let's look at just some of the things the Republican candidates got wrong in the debate.  http://t.co/0Xc0oydRtx  #Chafee2016"
645658957403561984,"You can't say #Putin didn't warn us in speech in Munich in '07. The ""unipolar"" speech. #chafee2016 Prosperity through Peace."
645599399243030528,"Empowering disgraceful Islamaphobia at his rally may be @realDonaldTrump 's campaign strategy, but it's unequivocally shameful and wrong."
645297224608559104,Thank you NH Democrats!  Prosperity through Peace! #chafee2016 #nhpolitics http://t.co/IBoqCZcaoa
645281783441965057,Governor O'Malley and Governor Chafee exchange pleasantries at the NH Democratic Convention. #chafee2016 #nhpolitics http://t.co/lNgrIQwYyH
644994441737031680,Prejudicial fears poison our nation. @IStandwithAhmed  you inspire us all to fight for compassion. #IStandWithAhmed   http://t.co/CeCOzV7V8n
644949359914827777,"Humbled by diplomacy w/the South, N. Korea seeks to reaffirm fantasy stance of power and legitimacy w/ nukes  http://t.co/fwlvgLt3Ac"
644904111096365060,I fear fear itself. The last time the @GOP was this scared of Muslims we invaded Iraq. Hawks must stop squawking  http://t.co/pOVNm8wm1h
644632023773134849,"I'm all for fiscal responsibility, but Republicans are severely harming our govt's ability to make good decisions. http://t.co/4U9swHjWYf"
644586893473107968,"Mass incarceration is not ""tough on crime"", its tough on families; wasting money &amp; poisoning society. #GetGrounded   http://t.co/Im7fyhSzZq"
644541467298500608,The only solution to Syria and the refugee crisis is via diplomacy. Time to bring the players to the table. @npwcnn  http://t.co/SspZ0MfAW7
644496414689529856,"Wow, so much anti @Obama vitriol #GOPDebate. THEY forget the mess THEY handed him in '08- deficits, freefall economy, broken MIddle East."
644326220507836416,How can they be so indignant?  They and @GOP leaders are responsible for class warfare &amp; disparity in this country and beyond. #CNNDebate
644319452759244800,An hour in #cnndebate &amp; they've started WWIII and bashed women.  Next: beating on immigrants and more damage to the poor &amp; Middle Class.
644269779868585984,.@GOP predicate American greatness on mostly violent posturing and offer no vision  @Brookings_FP   @will_mccants   http://t.co/rP2muVfw3s
644224543721189377,.@Pontifex very right about the tip of the iceberg. We must reorient global order towards  #ProsperitythroughPeace   http://t.co/XY7XlPdtSZ
644179053663121412,Tea Party Repubs trying to kill Ex-Im Bank are killing good American jobs.  Bank's been helping companies since 1934. http://t.co/huGWRaxi57
644133819516383232,"Invading Iraq empowered ISIS, increasing violence &amp; sectarian tensions in climate of poor governance #GetGrounded  http://t.co/BTgcRaSllh"
643942826317885440,Thank you for a lively conversation @plaistowdems tonight in NH! #chafee2016 #nhpolitics Prosperity through Peace. http://t.co/P6LKXEBtKB
643907288013651969,.@steven_pifer  at  @Brookings_FP  notes that Repubs are empty on addressing Russia. Tasty carrot &gt; posturing stick.  http://t.co/DerrY2CRB1
643875191874023425,"At Colby-Sawyer College Town Hall Meeting in New London, NH http://t.co/PSi7sqy2p5"
643862053883670529,"Learn more about my campaign at a Town Hall Meeting today at 4 pm @colbysawyer in New London, NH #Chafee2016 #ProsperitythroughPeace"
643816603679895553,"A lack of transparency plus a paradigm of dire national security produces tragic results, in Egypt and everywhere  http://t.co/qzeQcUwdMv"
643771345197735937,Putin coming to UN.  So far he's rebuffed in meeting @POTUS.  Why?  Let's listen re: Syria and ISIS #GetGrounded  http://t.co/OA2snYMPyB
643529906102648832,In New Hampshire today for the meeting of the @rcdcnh Rockingham Democrats tonight at 7PM in Exeter. #chafee2016
643454459302051840,"Cheney foolishly against #irandeal. He was wrong about Iraq, he's wrong now. #Prosperity through Peace  #chafee2016 http://t.co/VmCkfzQOds"
643408890957312000,Think the Middle East is complicated?  Some Iranians say US is secretly protecting ISIS.  #GetGrounded #chafee2016 http://t.co/38WmZQ6aQe
643058951794360321,"Important time in our history. As nations evolve we should avoid ""preachments of the west…laced with hypocrisy."" http://t.co/QeugJ0xjfy"
642789872277848064,"In Haverhill, MA for the 350th Anniversary Celebration at Riverside Park."
642759731069759489,"Looking forward to meeting you this afternoon @rcdcnh booth during the Old Home Days Celebration in Sandown, NH #chafee2016  #nhpolitics"
642729516029317120,"See you at the Chester, NH Old Town Days Fair this afternoon. #chafee2016"
642702062036365312,Oklahoma death row case shows flaws of capital punishment. Past due to join civilized nations and end it.#GetGrounded http://t.co/ihujwJUBbX
