id,text
1131024299182235648,"Congratulations to Governor @MattBevin on winning the Republican Primary for Governor tonight in the Great State of KENTUCKY. Matt, you are doing a fantastic job!"
1131022077669072898,"Great news for Republicans: Fred Keller has just won the hard fought for Pennsylvania Congressional contest in a LANDSLIDE, over 70% of the vote. Thanks to the thousands who showed up for the Rally last night. Congratulations to Fred and his wonderful family!"
1131002394966462464,"John Brennan on the Mueller probe, “I don’t know if I received bad information, but I THINK I SUSPECTED THAT THERE WAS MORE THAN THERE ACTUALLY WAS.” Wow, he admits he was wrong! Congress should go back to work on drug prices etc."
1130999648976560128,"The Democrats are on a fishing expedition, wanting to interview the same people, and see the same things, as we just went through for two years with Robert Mueller and the 18 Angry Dems. Never happened to a president before. Never even happened to President Obama!"
1130994855042273280,"After spending 40 Million Dollars, reviewing 1.4 million pages of documents, &amp; interviewing 500 people with the total support of the White House, the Mueller Report was a BIG DISAPPOINTMENT to the Democrats, so they want a DO OVER. It doesn’t work that way-so bad for our Country!"
1130968722754064386,Shahira Knight has done a wonderful job as my Legislative Affairs Director at the White House. She was outstanding for us and for our Country - will be a tremendous success in the private sector!
1130956496089636864,"Wow, Mark Levin’s new book opened at #1. It is great – keep it there for a long time! https://t.co/3F1xybks0R"
1130954769051332613,"Johnny, we will miss you – you did a great job! https://t.co/eXaASLgeSh"
1130947087955308547,"....at a conclusion of NO COLLUSION and NO OBSTRUCTION! The Dems were unhappy with the outcome of the $40M Mueller Report, so now they want a do-over."
1130947086739025920,"So even though I didn’t have to do it with Presidential Privilege, I allowed everyone to testify, including White House Counsel Don McGahn (for over 30 hours), to Robert Mueller and the 18 Angry Trump-Hating Democrats, and they arrived...."
1130939513268789251,"I am pleased to announce my nomination of Barbara Barrett of Arizona, and former Chairman of the Aerospace Corporation, to be the next Secretary of the Air Force. She will be an outstanding Secretary! #FlyFightWin"
1130875567493009410,"Pennsylvania - Don’t forget to get out and VOTE TODAY for Republican Fred Keller for Congress. Fred is Strong on Crime, Second Amendment, Military, Vets, and Healthcare. He has my Complete and Total Endorsement!"
1130870087823613952,"...Mexico’s attitude is that people from other countries, including Mexico, should have the right to flow into the U.S. &amp; that U.S. taxpayers should be responsible for the tremendous costs associated w/this illegal migration. Mexico is wrong and I will soon be giving a response!"
1130870086531727360,"I am very disappointed that Mexico is doing virtually nothing to stop illegal immigrants from coming to our Southern Border where everyone knows that because of the Democrats, our Immigration Laws are totally flawed &amp; broken..."
1130857064928952320,"To the great people of Kentucky, please go out and vote for Matt Bevin today. Very important. He has done a fantastic job for you and America! #MAGA"
1130656084019109888,Just returned to the beautiful @WhiteHouse after a great evening in Pennsylvania! https://t.co/wMeh9k9knv
1130655064631238658,"Megan King, who is running for Superior Court Judge in the Pennsylvania election, has my Full and Total Endorsement. She is tough on crime and fully understands all aspects of the law. Vote for Megan tomorrow (Tuesday)."
1130640582903132160,Massive crowds in Pennsylvania tonight. Thank you for joining me! https://t.co/v1e0d0AHHo
1130635742810480641,"Beautiful evening for a MAKE AMERICA GREAT AGAIN rally tonight in Pennsylvania. Thank you, I love you! #MAGA https://t.co/6oqbA5Y5zU"
1130604080806617088,"Landing shortly in Montoursville, Pennsylvania - see everyone shortly! https://t.co/R67IxP3QPL"
1130535532868571137,"Fred Keller of the Great State of Pennsylvania has been an outstanding State Representative. Now he is running as the Republican Nominee for Congress, and has my Complete and Total Endorsement. He will do a fantastic job - I look forward to seeing everyone tonight! #MAGA"
1130528709629358080,"See you tonight at 7:00 P.M. Eastern, Montoursville, Pennsylvania! #MAGA https://t.co/Ij2AjXfRZa"
1130526243751960576,"....Iran will call us if and when they are ever ready. In the meantime, their economy continues to collapse - very sad for the Iranian people!"
1130526242531364864,"The Fake News put out a typically false statement, without any knowledge that the United States was trying to set up a negotiation with Iran. This is a false report...."
1130525604976168960,"On this Cuban Independence Day, we stand by the people of Cuba in their quest for freedom, democracy and prosperity. The Cuban regime must end its repression of Cubans &amp; Venezuelans. The United States will not stand idly by as Cuba continues to subvert democracy in the Americas!"
1130475280164896768,"Looks like Bernie Sanders is history. Sleepy Joe Biden is pulling ahead and think about it, I’m only here because of Sleepy Joe and the man who took him off the 1% trash heap, President O! China wants Sleepy Joe BADLY!"
1130446450557673474,"Why are the Democrats not looking into all of the crimes committed by Crooked Hillary and the phony Russia Investigation? They would get back their credibility. Jerry Nadler, Schiff,  would have a whole new future open to them. Perhaps they could even run for President!"
1130444950359949314,"“We have a booming economy, and working people are making gains that they haven’t seen in decades.”  Stuart Varney @foxandfriends"
1130433208997355520,".....was very good and highly professional to deal with - and if for any reason I didn’t like them, I would have gone elsewhere....there was always plenty of money around and banks to choose from. They would be very happy to take my money. Fake News!"
1130433208250769410,"....Now the new big story is that Trump made a lot of money and buys everything for cash, he doesn’t need banks. But where did he get all of that cash? Could it be Russia? No, I built a great business and don’t need banks, but if I did they would be there...and DeutscheBank......"
1130433207487336450,The Mainstream Media has never been as corrupt and deranged as it is today. FAKE NEWS is actually the biggest story of all and is the true ENEMY OF THE PEOPLE! That’s why they refuse to cover the REAL Russia Hoax. But the American people are wise to what is going on.....
1130433206652682240,"....fashioned, but true. When you don’t need or want money, you don’t need or want banks. Banks have always been available to me, they want to make money. Fake Media only says this to disparage, and always uses unnamed sources (because their sources don’t even exist)......"
1130433205537038337,"The Failing New York Times (it will pass away when I leave office in 6 years), and others of the Fake News Media, keep writing phony stories about how I didn’t use many banks because they didn’t want to do business with me. WRONG! It is because I didn’t need money. Very old"
1130300258481786880,The Mainstream Media hates to cover this! https://t.co/EMhAVWCjVf
1130299467121475584,"Starting Monday, our great Farmers can begin doing business again with Mexico and Canada. They have both taken the tariff penalties off of your great agricultural product. Please be sure that you are treated fairly. Any complaints should immediately go to  @SecretarySonny Perdue!"
1130296183795126277,A great win for Brooks. Congratulations to a great champion! https://t.co/74z0n2icuA
1130220543427457024,"....who got them there. Chris Wallace said, “I actually think, whether you like his opinions or not, that Mayor Pete has a lot of substance...fascinating biography.” Gee, he never speaks well of me - I like Mike Wallace better...and Alfred E. Newman will never be President!"
1130220542538264576,"Hard to believe that @FoxNews is wasting airtime on Mayor Pete, as Chris Wallace likes to call him. Fox is moving more and more to the losing (wrong) side in covering the Dems. They got dumped from the Democrats boring debates, and they just want in. They forgot the people....."
1130211401304289280,I will be interviewed by Steve Hilton tonight at 9:00 P.M. on @FoxNews. Enjoy!
1130207891049332737,"If Iran wants to fight, that will be the official end of Iran. Never threaten the United States again!"
1130205328522522627,"False reporting yesterday. “There are no plans to send migrants to Northern or Coastal Border facilities, including Florida.” @FoxNews  Not by airplanes or any other way. Our Country is FULL, will not, and can not, take you in!"
1130200090583478274,"Our Economy and Jobs Market is BOOMING, the best in the World and in our Country’s history - and we have just started!"
1130198627081699328,"With the wonderful College, University and other Graduations taking place all over the USA, there has never been a better time than now to graduate. Best jobs market ever, great housing and financing. Go out there, work hard, &amp; have a GREAT life. You deserve it. Congratulations!"
1130183995587813383,Watched some of the Fake News Political Shows this morning and continue to be amazed at how every question is asked in the most negative way. The Mainstream Media should be ashamed of itself - But the good news is that the USA is wise to your game of dishonesty and deception!
1130109633673211906,"....he would see that it was nevertheless strong on NO COLLUSION and, ultimately, NO OBSTRUCTION...Anyway, how do you Obstruct when there is no crime and, in fact, the crimes were committed by the other side? Justin is a loser who sadly plays right into our opponents hands!"
