Tokenizer,lowercase,N-gram,Min_df,Max_df,Accuracy
Vectorizer.Count,False,1,1,10,0.7727917472598324
Vectorizer.Count,False,1,1,110,0.8870406189555126
Vectorizer.Count,False,1,1,210,0.9032882011605415
Vectorizer.Count,False,1,1,310,0.9185041908446164
Vectorizer.Count,False,1,1,410,0.9194068343004513
Vectorizer.Count,False,1,1,510,0.9200515796260477
Vectorizer.Count,False,1,1,610,0.9183752417794971
Vectorizer.Count,False,1,1,710,0.9208252740167634
Vectorizer.Count,False,1,1,810,0.9209542230818827
Vectorizer.Count,False,1,1,910,0.9227595099935525
Vectorizer.Count,False,1,1,1010,0.9217279174725983
Vectorizer.Count,False,1,1,1110,0.9244358478401031
Vectorizer.Count,False,1,1,1210,0.9246937459703417
Vectorizer.Count,False,1,1,1310,0.9249516441005803
Vectorizer.Count,False,1,1,1410,0.9245647969052224
Vectorizer.Count,False,1,1,1510,0.9244358478401031
Vectorizer.Count,False,1,2,10,0.7520309477756286
Vectorizer.Count,False,1,2,110,0.8847195357833656
Vectorizer.Count,False,1,2,210,0.8995486782720825
Vectorizer.Count,False,1,2,310,0.9173436492585428
Vectorizer.Count,False,1,2,410,0.9181173436492586
Vectorizer.Count,False,1,2,510,0.9176015473887814
Vectorizer.Count,False,1,2,610,0.9181173436492586
Vectorizer.Count,False,1,2,710,0.919277885235332
Vectorizer.Count,False,1,2,810,0.9208252740167634
Vectorizer.Count,False,1,2,910,0.9206963249516441
Vectorizer.Count,False,1,2,1010,0.9209542230818827
Vectorizer.Count,False,1,2,1110,0.9235332043842682
Vectorizer.Count,False,1,2,1210,0.9234042553191489
Vectorizer.Count,False,1,2,1310,0.9230174081237911
Vectorizer.Count,False,1,2,1410,0.9235332043842682
Vectorizer.Count,False,1,2,1510,0.9231463571889104
Vectorizer.Count,False,1,3,10,0.7332043842682141
Vectorizer.Count,False,1,3,110,0.8818826563507415
Vectorizer.Count,False,1,3,210,0.898388136686009
Vectorizer.Count,False,1,3,310,0.9152804642166344
Vectorizer.Count,False,1,3,410,0.9161831076724694
Vectorizer.Count,False,1,3,510,0.9160541586073501
Vectorizer.Count,False,1,3,610,0.9148936170212766
Vectorizer.Count,False,1,3,710,0.9173436492585428
Vectorizer.Count,False,1,3,810,0.9190199871050935
Vectorizer.Count,False,1,3,910,0.9199226305609284
Vectorizer.Count,False,1,3,1010,0.920180528691167
Vectorizer.Count,False,1,3,1110,0.9213410702772404
Vectorizer.Count,False,1,3,1210,0.9209542230818827
Vectorizer.Count,False,1,3,1310,0.9221147646679562
Vectorizer.Count,False,1,3,1410,0.922501611863314
Vectorizer.Count,False,1,3,1510,0.922501611863314
Vectorizer.Count,False,1,4,10,0.708575112830432
Vectorizer.Count,False,1,4,110,0.8791747259832366
Vectorizer.Count,False,1,4,210,0.8972275950999355
Vectorizer.Count,False,1,4,310,0.913217279174726
Vectorizer.Count,False,1,4,410,0.9151515151515152
Vectorizer.Count,False,1,4,510,0.9127014829142489
Vectorizer.Count,False,1,4,610,0.9138620245003224
Vectorizer.Count,False,1,4,710,0.9147646679561573
Vectorizer.Count,False,1,4,810,0.9169568020631851
Vectorizer.Count,False,1,4,910,0.9190199871050935
Vectorizer.Count,False,1,4,1010,0.9183752417794971
Vectorizer.Count,False,1,4,1110,0.9197936814958092
Vectorizer.Count,False,1,4,1210,0.9197936814958092
Vectorizer.Count,False,1,4,1310,0.921083172147002
Vectorizer.Count,False,1,4,1410,0.9223726627981947
Vectorizer.Count,False,1,4,1510,0.9222437137330755
Vectorizer.Count,False,1,5,10,0.686782720825274
Vectorizer.Count,False,1,5,110,0.8740167633784655
Vectorizer.Count,False,1,5,210,0.8928433268858801
Vectorizer.Count,False,1,5,310,0.9110251450676983
Vectorizer.Count,False,1,5,410,0.9116698903932946
Vectorizer.Count,False,1,5,510,0.9111540941328176
Vectorizer.Count,False,1,5,610,0.9139909735654417
Vectorizer.Count,False,1,5,710,0.9133462282398452
Vectorizer.Count,False,1,5,810,0.9160541586073501
Vectorizer.Count,False,1,5,910,0.91785944551902
Vectorizer.Count,False,1,5,1010,0.9176015473887814
Vectorizer.Count,False,1,5,1110,0.919277885235332
Vectorizer.Count,False,1,5,1210,0.919277885235332
Vectorizer.Count,False,1,5,1310,0.9197936814958092
Vectorizer.Count,False,1,5,1410,0.9222437137330755
Vectorizer.Count,False,1,5,1510,0.921083172147002
Vectorizer.Count,False,1,6,10,0.65892972275951
Vectorizer.Count,False,1,6,110,0.8710509348807222
Vectorizer.Count,False,1,6,210,0.891424887169568
Vectorizer.Count,False,1,6,310,0.9101225016118634
Vectorizer.Count,False,1,6,410,0.9112830431979368
Vectorizer.Count,False,1,6,510,0.9107672469374597
Vectorizer.Count,False,1,6,610,0.9107672469374597
Vectorizer.Count,False,1,6,710,0.9117988394584139
Vectorizer.Count,False,1,6,810,0.9136041263700838
Vectorizer.Count,False,1,6,910,0.9150225660863959
Vectorizer.Count,False,1,6,1010,0.9152804642166344
Vectorizer.Count,False,1,6,1110,0.9179883945841393
Vectorizer.Count,False,1,6,1210,0.9177304964539007
Vectorizer.Count,False,1,6,1310,0.9174725983236621
Vectorizer.Count,False,1,6,1410,0.9204384268214055
Vectorizer.Count,False,1,6,1510,0.9197936814958092
Vectorizer.Count,False,1,7,10,0.6335267569310122
Vectorizer.Count,False,1,7,110,0.866795615731786
Vectorizer.Count,False,1,7,210,0.8911669890393294
Vectorizer.Count,False,1,7,310,0.9061250805931657
Vectorizer.Count,False,1,7,410,0.9089619600257898
Vectorizer.Count,False,1,7,510,0.908575112830432
Vectorizer.Count,False,1,7,610,0.9088330109606705
Vectorizer.Count,False,1,7,710,0.9093488072211476
Vectorizer.Count,False,1,7,810,0.9105093488072211
Vectorizer.Count,False,1,7,910,0.9130883301096067
Vectorizer.Count,False,1,7,1010,0.913217279174726
Vectorizer.Count,False,1,7,1110,0.9151515151515152
Vectorizer.Count,False,1,7,1210,0.9148936170212766
Vectorizer.Count,False,1,7,1310,0.9143778207607994
Vectorizer.Count,False,1,7,1410,0.9191489361702128
Vectorizer.Count,False,1,7,1510,0.9182462927143779
Vectorizer.Count,False,1,8,10,0.6033526756931012
Vectorizer.Count,False,1,8,110,0.8662798194713088
Vectorizer.Count,False,1,8,210,0.8884590586718246
Vectorizer.Count,False,1,8,310,0.9038039974210187
Vectorizer.Count,False,1,8,410,0.9059961315280464
Vectorizer.Count,False,1,8,510,0.9078014184397163
Vectorizer.Count,False,1,8,610,0.9067698259187621
Vectorizer.Count,False,1,8,710,0.9080593165699549
Vectorizer.Count,False,1,8,810,0.9084461637653127
Vectorizer.Count,False,1,8,910,0.9120567375886525
Vectorizer.Count,False,1,8,1010,0.9129593810444874
Vectorizer.Count,False,1,8,1110,0.9137330754352031
Vectorizer.Count,False,1,8,1210,0.9134751773049645
Vectorizer.Count,False,1,8,1310,0.9134751773049645
Vectorizer.Count,False,1,8,1410,0.9174725983236621
Vectorizer.Count,False,1,8,1510,0.9173436492585428
Vectorizer.Count,False,1,9,10,0.5749838813668601
Vectorizer.Count,False,1,9,110,0.8631850419084461
Vectorizer.Count,False,1,9,210,0.8869116698903933
Vectorizer.Count,False,1,9,310,0.9022566086395873
Vectorizer.Count,False,1,9,410,0.9041908446163766
Vectorizer.Count,False,1,9,510,0.90535138620245
Vectorizer.Count,False,1,9,610,0.9045776918117344
Vectorizer.Count,False,1,9,710,0.9065119277885235
Vectorizer.Count,False,1,9,810,0.9079303675048356
Vectorizer.Count,False,1,9,910,0.9110251450676983
Vectorizer.Count,False,1,9,1010,0.9106382978723404
Vectorizer.Count,False,1,9,1110,0.9114119922630561
Vectorizer.Count,False,1,9,1210,0.9117988394584139
Vectorizer.Count,False,1,9,1310,0.9125725338491296
Vectorizer.Count,False,1,9,1410,0.9151515151515152
Vectorizer.Count,False,1,9,1510,0.914635718891038
Vectorizer.Count,False,1,10,10,0.5432624113475177
Vectorizer.Count,False,1,10,110,0.8577691811734365
Vectorizer.Count,False,1,10,210,0.8834300451321728
Vectorizer.Count,False,1,10,310,0.8986460348162476
Vectorizer.Count,False,1,10,410,0.9029013539651838
Vectorizer.Count,False,1,10,510,0.9040618955512573
Vectorizer.Count,False,1,10,610,0.9034171502256608
Vectorizer.Count,False,1,10,710,0.9050934880722115
Vectorizer.Count,False,1,10,810,0.9075435203094777
Vectorizer.Count,False,1,10,910,0.9103803997421018
Vectorizer.Count,False,1,10,1010,0.9107672469374597
Vectorizer.Count,False,1,10,1110,0.912314635718891
Vectorizer.Count,False,1,10,1210,0.912314635718891
Vectorizer.Count,False,1,10,1310,0.9128304319793682
Vectorizer.Count,False,1,10,1410,0.9147646679561573
Vectorizer.Count,False,1,10,1510,0.9156673114119923
Vectorizer.Count,False,2,1,10,0.8938749194068343
Vectorizer.Count,False,2,1,110,0.9243068987749838
Vectorizer.Count,False,2,1,210,0.92856221792392
Vectorizer.Count,False,2,1,310,0.9310122501611864
Vectorizer.Count,False,2,1,410,0.9323017408123792
Vectorizer.Count,False,2,1,510,0.9325596389426176
Vectorizer.Count,False,2,1,610,0.9290780141843972
Vectorizer.Count,False,2,1,710,0.9302385557704707
Vectorizer.Count,False,2,1,810,0.9307543520309478
Vectorizer.Count,False,2,1,910,0.9323017408123792
Vectorizer.Count,False,2,1,1010,0.9328175370728562
Vectorizer.Count,False,2,1,1110,0.9329464861379755
Vectorizer.Count,False,2,1,1210,0.9320438426821406
Vectorizer.Count,False,2,1,1310,0.9313990973565441
Vectorizer.Count,False,2,1,1410,0.9310122501611864
Vectorizer.Count,False,2,1,1510,0.9313990973565441
Vectorizer.Count,False,2,2,10,0.8755641521598968
Vectorizer.Count,False,2,2,110,0.9228884590586718
Vectorizer.Count,False,2,2,210,0.926241134751773
Vectorizer.Count,False,2,2,310,0.9297227595099935
Vectorizer.Count,False,2,2,410,0.9311411992263056
Vectorizer.Count,False,2,2,510,0.9308833010960671
Vectorizer.Count,False,2,2,610,0.9319148936170213
Vectorizer.Count,False,2,2,710,0.9315280464216634
Vectorizer.Count,False,2,2,810,0.9308833010960671
Vectorizer.Count,False,2,2,910,0.9359123146357189
Vectorizer.Count,False,2,2,1010,0.935009671179884
Vectorizer.Count,False,2,2,1110,0.934107027724049
Vectorizer.Count,False,2,2,1210,0.9344938749194068
