". JohnKasich, it works better if you ask with a smile. ProTip GOPDebate",NoTrump
How can Crooked Hillary put her husband in charge of the economy when he was responsible for NAFTA the worst economic deal in U.S. history?,Trump
Ted Cruz is totally unelectable if he even gets to run (born in Canada). Will loose big to Hillary. Polls show I beat Hillary easily! WIN!,Trump
"I think that China felt they were being beaten so badly in the recent negotiation that they may as well wait around for the next election, 2020, to see if they could get lucky &amp; have a Democrat win - in which case they would continue to rip-off the USA for $500 Billion a year....",Trump
Veterans Day 10 years ago. Last picture taken of my dad &amp; me together. Thanks to all who have served. VeteransDay,NoTrump
The Fake News media is officially out of control. They will do or say anything in order to get attention - never been a time like this!,Trump
“After The Flight 93 Election The Vote That Saved America - And What We Still Have To Lose” by very talented Michael Anton is a terrific read. Check it out!,Trump
....FISA abuse Christopher Steele &amp; his phony and corrupt Dossier the Clinton Foundation illegal surveillance of Trump Campaign Russian collusion by Dems - and so much more. Open up the papers &amp; documents without redaction? Come on Jeff you can do it the country is waiting!,Trump
I called President Putin of Russia to congratulate him on his election victory (in past Obama called him also). The Fake News Media is crazed because they wanted me to excoriate him. They are wrong! Getting along with Russia (and others) is a good thing not a bad thing.......,Trump
"Still support the deal, HillaryClinton?",NoTrump
LIVE: President Obama is delivering the keynote address at the commencement ceremony of the U.S. Coast Guard Academy.,NoTrump
Add your name if you agree—cutting carbon pollution is just common sense:  ActOnClimate,NoTrump
"Today, it was my great honor to welcome NATO Secretary General JensStoltenberg to the WhiteHouse!",Trump
President Xi of China and I are working together to give massive Chinese phone company ZTE a way to get back into business fast. Too many jobs in China lost. Commerce Department has been instructed to get it done!,Trump
"As president, I will defend and protect the Second Amendment:",NoTrump
Despite requests I have no plans to meet Iranian President Hassan Rouhani. Maybe someday in the future. I am sure he is an absolutely lovely man!,Trump
Barack Obama’s greatest strength? “Probably that I’m always early.”,NoTrump
The only thing that I have done wrong is to win an election that was expected to be won by Crooked Hillary Clinton and the Democrats. The problem is they forgot to campaign in numerous states!,Trump
Sheriffs dont want to be deputized as POTUS' Immigrant Internment Force. Undermines safety if ppl afraid to work with cops to solve crime,NoTrump
"Last time I went to Davos, the Fake News said I should not go there. This year, because of the Shutdown, I decided not to go, and the Fake News said I should be there. The fact is that the people understand the media better than the media understands them!",Trump
Walk the walk—support the team that's fighting for today's important issues.,NoTrump
"Corporate and political elites consolidate more and more wealth while the middle class shrinks, then spend millions to elect right-wing politicians and pass policies that will protect their power and slash their taxes. That is what we're up against and why we fight for justice.",NoTrump
"""I want to thank Tim Kaine and Anne Holton for being our partners on this journey."" —Hillary",NoTrump
MAKE AMERICA GREAT AGAIN!,Trump
My plan for economic growth will restore the American dream for those who forgot what it looks like.,NoTrump
"The damage done to our Country from a badly broken Border - Drugs, Crime and so much that is bad - is far greater than a Shutdown, which the Dems can easily fix as soon as they come back to Washington!",Trump
” wpjenna: Thousands packed into the Pensacola Bay Center to see Donald Trump tonight...,Trump
Great to join RitaCosby and 77WABCradio to talk edreform and excelined! BacktotheBooks,NoTrump
"Thanks, TomSteyer. Read my full plan:",NoTrump
"As Americans, as caring human beings, we cannot allow school shootings to become a new normal. Stand up for common gun safety laws. Stand up for our children’s lives. SantaFe EnoughisEnough NeverAgain",NoTrump
"If you missed my interview with greta last night, here’s a recap:",NoTrump
